no,pl_nm,beonji,ho,lot_num_address,road_nm_address,bld_num,pl_fee,pl_basic_rate_min,pl_basic_rate_amt,pl_addi_rate_min,pl_addi_rate_amt,pl_allday_pass_amt,pl_month_pass_amt,pl_payment_option,pl_building_nm,pl_num_space_planned,pl_num_disabled_private,pl_num_compact_private,pl_num_other_private,pl_num_women_only,pl_num_elctronic_only,pl_num_shared_car,logitude,latitude,final_end_dt
연번,주차장이름,번지,호,주소(지번),새주소-도로명,새주소-건물번호,유무료,일반-기본단위시간,일반-기본단위금액,일반-추가단위시간,일반-추가단위금액,일반-1일(전일),일반-1월(정기권),주차요금 지불방식,건물명,계획주차면수,전용주차구획-장애인,전용주차구획-경차,전용주차구획-기타,전용주차구획-여성우선,전용주차구획-전기차,전용주차구획-나눔카,경도,위도,최종작성일
1,노블레스 빌 주차장,0255,0018,서울특별시 광진구 능동 255-18 노블레스 빌,천호대로,632-00,2,000,000000,000,000000,000000,000000,0,노블레스 빌,0032,1,0,0,0,0,0,127.087379,37.553694,2022-11-25
2,광장12차현대홈타운 주차장,0580,0000,서울특별시 광진구 광장동 580 광장12차현대홈타운,천호대로,808-00,2,000,000000,000,000000,000000,000000,0,광장12차현대홈타운,0277,8,0,0,0,10,0,127.103010,37.544929,2022-11-25
3,하늘뜻교회 주차장,0413,0020,서울특별시 광진구 광장동 413-20 하늘뜻교회,아차산로69길,032-00,2,000,000000,000,000000,000000,000000,0,하늘뜻교회,0008,0,0,0,0,0,0,127.098681,37.543447,2022-11-25
4,장로회신학대학교 주차장,0353,0000,서울특별시 광진구 광장동 353 장로회신학대학교,광장로5길,025-01,1,030,001500,015,000500,012000,000000,2,장로회신학대학교,0220,14,0,0,0,0,0,127.102154,37.549915,2022-11-25
5,그린빌라4 주차장,0618,0035,서울특별시 광진구 자양동 618-35 그린빌라4,뚝섬로51길,005-00,1,000,000000,000,000000,050000,000000,9,그린빌라4,0006,0,0,0,0,0,0,127.079298,37.532996,2022-11-25
6,서울자양초등학교 주차장,0222,0006,서울특별시 광진구 자양동 222-6 서울자양초등학교,아차산로44길,026-00,1,000,000000,000,000000,000000,030000,3,서울자양초등학교,0048,2,0,0,0,0,0,127.079554,37.536794,2022-11-25
7,자양에스하임10 주차장,0649,0016,서울특별시 광진구 자양동 649-16 자양에스하임10,뚝섬로54길,027-00,1,000,000000,000,000000,000000,050000,3,자양에스하임10,0014,0,0,0,0,0,0,127.080631,37.530366,2022-11-25
8,자양힐아파트 101동 주차장,0810,0000,서울특별시 광진구 자양동 810 자양힐아파트 101동,자양로21길,016-14,2,000,000000,000,000000,000000,000000,0,자양힐아파트 101동,0064,2,0,0,0,0,0,127.081784,37.540099,2022-11-25
9,자양 에스하임3 주차장,0604,0006,서울특별시 광진구 자양동 604-6 자양 에스하임3,자양번영로4길,041-09,1,000,000000,000,000000,000000,050000,3,자양 에스하임3,0009,0,0,0,0,0,0,127.077702,37.531720,2022-11-25
10,성은하이츠 주차장,0013,0058,서울특별시 광진구 자양동 13-58,아차산로26길,028-00,2,000,000000,000,000000,000000,000000,0,성은하이츠,0020,1,0,0,0,0,0,127.065594,37.540197,2022-11-25
11,자양공공힐링센터 주차장,0013,0028,서울특별시 광진구 자양동 13-28 자양공공힐링센터,아차산로24길,017-00,1,000,000000,000,000000,000000,030000,3,자양공공힐링센터,0010,2,0,0,0,0,0,127.065074,37.540290,2022-11-25
12,한라아파트 주차장,0762,0000,서울특별시 광진구 자양동 762 한라아파트,뚝섬로33길,020-00,2,000,000000,000,000000,000000,000000,0,한라아파트,0344,3,0,0,0,0,0,127.070078,37.535697,2022-11-25
13,더샵스타시티 주차장,0227,0007,서울특별시 광진구 자양동 227-7 더샵스타시티,아차산로,262-00,2,000,000000,000,000000,000000,000000,0,더샵스타시티,3862,78,0,0,0,5,0,127.072545,37.537808,2022-11-25
14,더 클래식 500 주차장,0227,0342,서울특별시 광진구 자양동 227-342 더 클래식 500,능동로,090-00,1,060,003000,060,003000,000000,000000,3,더 클래식 500,0833,40,5,0,14,0,0,127.071200,37.538995,2022-11-25
15,롯데백화점 주차장,0227,0342,서울특별시 광진구 자양동 227-342 롯데백화점,능동로,092-00,1,030,000000,015,000700,030000,000000,3,롯데백화점,0574,17,0,0,73,0,0,127.071200,37.538995,2022-11-25
16,자양에스하임1 주차장,0643,0016,서울특별시 광진구 자양동 643-16 자양에스하임1,뚝섬로52마길,042-09,1,000,000000,000,000000,000000,050000,3,자양에스하임1,0005,1,1,0,0,0,0,127.080560,37.528383,2022-11-25
17,그린아파트 주차장,0665,0000,서울특별시 광진구 자양동 665 그린아파트,뚝섬로56길,035-00,2,000,000000,000,000000,000000,050000,0,그린아파트,0035,1,0,0,0,0,0,127.083083,37.529923,2022-11-25
18,서울구의초등학교 주차장,0303,0009,서울특별시 광진구 화양동 303-9 서울구의초등학교,광나루로30길,049-00,1,000,000000,000,000000,000000,000000,3,서울구의초등학교,0054,2,0,0,0,0,0,127.080449,37.542756,2022-11-25
19,스타시티영존빌딩 주차장,0004,0020,서울특별시 광진구 화양동 4-20 스타시티영존빌딩,능동로,110-00,1,030,000000,010,000700,000000,150000,3,스타시티영존빌딩,0213,7,0,0,0,0,0,127.071444,37.540659,2022-11-25
20,서울동의초등학교 주차장,0004,0005,서울특별시 광진구 구의동 4-5 서울동의초등학교,영화사로,111-00,2,000,000000,000,000000,000000,000000,0,서울동의초등학교,0050,0,0,0,0,0,0,127.098798,37.553420,2022-11-25
21,정립회관 주차장,0016,0003,서울특별시 광진구 구의동 16-3 정립회관,워커힐로,093-00,1,000,000000,000,000000,000000,050000,3,정립회관,0151,46,2,0,24,0,0,127.097590,37.550808,2022-11-25
22,광진초등학교 주차장,0060,0044,서울특별시 광진구 구의동 60-44 광진초등학교,자양로40길,041-00,1,000,000000,000,000000,000000,030000,3,광진초등학교,0029,1,0,0,0,0,0,127.091241,37.547667,2022-11-25
23,신도브래뉴오피스텔 주차장,0251,0034,서울특별시 광진구 구의동 251-34 신도브래뉴오피스텔,자양로,138-00,1,000,000000,000,000000,000000,050000,3,신도브래뉴오피스텔,0058,2,0,0,0,0,0,127.083520,37.540001,2022-11-25
24,구의동새한아파트 주차장,0656,0000,서울특별시 광진구 구의동 656 구의동새한아파트,자양로26길,071-00,2,000,000000,000,000000,000000,040000,0,구의동새한아파트,0132,6,4,0,0,0,0,127.088053,37.541025,2022-11-25
25,크레신타워3차 주차장,0246,0014,서울특별시 광진구 구의동 246-14 크레신타워3차,아차산로,375-00,1,030,002000,000,000000,000000,050000,2,크레신타워3차,0135,4,2,0,0,0,0,127.084399,37.537050,2022-11-25
26,성진프라자 주차장,0593,0015,서울특별시 광진구 구의동 593-15 성진프라자,구의강변로,045-00,1,010,000600,010,000600,036000,200000,2,성진프라자,0139,4,0,4,0,0,0,127.091265,37.534957,2022-11-25
27,동원빌딩 주차장,0001,0010,서울특별시 광진구 군자동 1-10 동원빌딩,능동로,275-01,2,000,000000,000,000000,000000,000000,0,동원빌딩,0008,0,0,0,0,0,0,127.077757,37.554695,2022-11-25
28,광나루로15길 007-18 주차장,0357,0001,서울특별시 광진구 군자동 357-1,광나루로15길,007-18,2,000,000000,000,000000,000000,000000,0,테힐라컴퍼니,0004,0,0,0,0,0,0,127.069170,37.549032,2022-11-25
29,구의2동제2경로당 주차장,0617,0033,서울특별시 광진구 구의동 617-33 구의2동제2경로당,자양로37길,085-00,1,000,000000,000,000000,000000,000000,3,구의2동제2경로당,0011,0,1,0,0,0,0,127.085960,37.547647,2022-11-25
30,서울장안초등학교 주차장,0365,0000,서울특별시 광진구 군자동 365 서울장안초등학교,군자로,074-00,1,000,000000,000,000000,000000,030000,3,서울장안초등학교,0045,2,0,0,0,0,0,127.072114,37.549893,2022-11-25
31,세종대학교 주차장,0098,0000,서울특별시 광진구 군자동 98,군자로,114-00,1,030,001500,010,000500,020000,000000,2,세종대학교,0988,0,0,0,0,0,0,127.074315,37.550747,2022-11-25
32,상명교회 주차장,0175,0098,서울특별시 광진구 중곡동 175-98 상명교회,동일로80길,030-00,2,000,000000,000,000000,000000,000000,0,상명교회,0011,0,0,0,0,0,0,127.081458,37.569928,2022-11-25
33,국립정신건강센터 주차장,0030,0001,서울특별시 광진구 중곡동 30-1,용마산로,127-00,1,030,000000,010,000500,000000,000000,2,국립정신건강센터,0449,12,37,0,46,8,0,127.084444,37.564928,2022-11-25
34,제이앤빌 주차장,0233,0037,서울특별시 광진구 중곡동 233-37 제이앤빌,긴고랑로3길,012-00,2,000,000000,000,000000,000000,000000,0,제이앤빌,0009,0,0,0,0,0,0,127.078470,37.564906,2022-11-25
35,경도빌딩 주차장,0626,0018,서울특별시 광진구 중곡동 626-18 경도빌딩,동일로64길,030-00,2,000,000000,000,000000,000000,000000,0,경도빌딩,0010,0,0,0,0,0,0,127.076248,37.560298,2022-11-25
