"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
11215-광장_012,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_013,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_013-1,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_014,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_015,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_017,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_018,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_020,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_020-1,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_021,37.54745049,127.1024834,지정구간,,서울특별시 광진구 광장동 258-31,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_050,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_050-1,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_050-2,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_050-3,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_051,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_052,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_053,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_054,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_055,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_056,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_057,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_058,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_059,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_060,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_061,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_062,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_063,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_063-1,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_063-2,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_063-3,37.54840823,127.1025123,지정구간,,서울특별시 광진구 광장동 394-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_069,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_071,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_074,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_075,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_076,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_077,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
